Primary_Key,Year,Store_Number,count,Shortage_Percent,Sales,Shortage
272,2018,Store_1361,1,0.029582409,38896005,1150637.54
273,2019,Store_1361,1,0.029738626,53332402.58,1586032.37
274,2021,Store_1361,1,0.032548744,107136510.8,3487158.89
275,2022,Store_1361,1,0.038826358,65491579.52,2542799.48
276,2023,Store_1361,1,0,0,0
277,2018,Store_5542,1,0.035141861,60193417.63,2115308.7
278,2019,Store_5542,1,0.044606131,51795413.03,2310392.97
279,2021,Store_5542,1,0.040691496,140819003.3,5730135.9
280,2022,Store_5542,1,0.03824239,95240775.66,3642234.88
281,2023,Store_5542,1,0,0,0
282,2018,Store_7285,1,0.030167265,58552841.07,1766379.07
283,2019,Store_7285,1,0.028611907,60052296.1,1718210.7
284,2020,Store_7285,1,0.033536221,53168624.73,1783074.75
285,2021,Store_7285,1,0.057617268,62379508.97,3594136.86
286,2022,Store_7285,1,0.058850023,109544200,6446678.65
287,2023,Store_7285,1,0,0,0
288,2018,Store_9961,1,0.0360476,27005086.06,973468.54
289,2019,Store_9961,1,0.037206449,29830250.24,1109877.69
290,2021,Store_9961,1,0.032571572,66106492.01,2153192.38
291,2022,Store_9961,1,0.033123915,38920246.57,1289190.94
292,2023,Store_9961,1,0.045108,38237653.3,1724811.86
293,2018,Store_4096,1,0.014660406,64753403.43,949311.18
294,2019,Store_4096,1,0.019091548,99058223.63,1891174.88
295,2021,Store_4096,1,0.017155462,131851936,2261980.85
296,2022,Store_4096,1,0.018692533,95094798.72,1777562.65
297,2023,Store_4096,1,0,0,0
298,2018,Store_8181,1,0.020358075,71314180.67,1451819.46
299,2019,Store_8181,1,0.026060178,76747641.42,2000057.16
300,2021,Store_8181,1,0.018888766,114502223.9,2162805.77
301,2022,Store_8181,1,0.022581657,82048113.68,1852782.39
302,2023,Store_8181,1,0.034183,89406902.53,3056199.17
303,2018,Store_6345,1,0.010742983,84946436.28,912578.14
304,2019,Store_6345,1,0.015443347,84243804.77,1301006.31
305,2021,Store_6345,1,0.015656081,169568356.5,2654776
306,2022,Store_6345,1,0.027398185,101185232,2772291.71
307,2023,Store_6345,1,0,0,0
308,2018,Store_6142,1,0.013627503,67506662.09,919947.23
309,2019,Store_6142,1,0.019056236,62568599.71,1192322
310,2021,Store_6142,1,0.013668954,124567593.2,1702708.67
311,2022,Store_6142,1,0.026925871,81630657.93,2197976.59
312,2023,Store_6142,1,0.03345,84213637.68,2816974.79
313,2018,Store_3926,1,0.023273428,89196149.63,2075900.15
314,2019,Store_3926,1,0.035555229,88307527.78,3139794.34
315,2021,Store_3926,1,0.035552141,152470259.3,5420644.21
316,2022,Store_3926,1,0.059103769,98507627.9,5822172.13
317,2023,Store_3926,1,0,0,0
318,2018,Store_6776,1,0.038542944,47594676.03,1834438.92
319,2019,Store_6776,1,0.039660636,34647544.86,1374143.68
320,2021,Store_6776,1,0.030488546,115517444.8,3521958.97
321,2022,Store_6776,1,0.039234567,60197259.48,2361813.43
322,2023,Store_6776,1,0,0,0
323,2018,Store_1438,1,0.017239679,32845658.47,566248.62
324,2019,Store_1438,1,0.015068204,30254856.67,455886.36
325,2020,Store_1438,1,0.017794037,36350756.4,646826.72
326,2021,Store_1438,1,0.022084427,55031741.99,1215344.48
327,2022,Store_1438,1,0.034002774,47052426.98,1599913.06
328,2023,Store_1438,1,0,0,0
329,2018,Store_7220,1,0.032930302,43983132.31,1448377.84
330,2019,Store_7220,1,0.040804008,49994274.37,2039966.76
331,2021,Store_7220,1,0.038360421,90976100.78,3489881.56
332,2022,Store_7220,1,0.034067674,67724682.98,2307222.41
333,2023,Store_7220,1,0.055828,62006516.43,3461726.23
334,2018,Store_2804,1,0.006521445,52418877.29,341846.85
335,2019,Store_2804,1,0.007921253,88795625.93,703372.62
336,2020,Store_2804,1,0.005993694,59730456.18,358006.06
337,2021,Store_2804,1,0.005795053,60631988.97,351365.59
338,2022,Store_2804,1,0.007785969,77014058.47,599629.11
339,2023,Store_2804,1,0,0,0
340,2018,Store_1627,1,0.017056099,39277769.38,669925.54
341,2019,Store_1627,1,0.011652509,17827900.95,207739.77
342,2021,Store_1627,1,0.010245555,94314952.08,966308.99
343,2022,Store_1627,1,0.01000994,66314715.91,663806.34
344,2023,Store_1627,1,0.015601,63684110.1,993546.28
345,2018,Store_9500,1,0.014908661,30141846.52,449374.58
346,2019,Store_9500,1,0.011365449,31420037.89,357102.84
347,2020,Store_9500,1,0.009005458,29796982.94,268335.47
348,2021,Store_9500,1,0.008866398,38131878.79,338092.43
349,2022,Store_9500,1,0.010593512,66416667.66,703585.77
350,2023,Store_9500,1,0,0,0
351,2018,Store_2892,1,0.009852382,54086452.28,532880.39
352,2019,Store_2892,1,0.012894315,53473045.3,689498.29
353,2021,Store_2892,1,0.012937202,85660798.28,1108211.06
354,2022,Store_2892,1,0.015281598,55504719.84,848200.82
355,2023,Store_2892,1,0,0,0
356,2018,Store_5886,1,0.006916373,35659173.61,246632.15
357,2019,Store_5886,1,0.011245362,43318920.94,487136.94
358,2020,Store_5886,1,0.006823618,34321469.84,234196.6
359,2021,Store_5886,1,0.011406424,56185706.7,640878.01
360,2022,Store_5886,1,0.00760857,60087665.6,457181.18
361,2023,Store_5886,1,0,0,0
362,2018,Store_6643,1,0.023358587,37292248.91,871094.23
363,2019,Store_6643,1,0.023846828,39552828.23,943209.48
364,2020,Store_6643,1,0.020233561,31032517.29,627898.32
365,2021,Store_6643,1,0.02758172,45764117.24,1262253.09
366,2022,Store_6643,1,0.028287695,47520469.5,1344244.55
367,2023,Store_6643,1,0,0,0
368,2018,Store_3428,1,0.005356097,34030369.52,182269.95
369,2019,Store_3428,1,0.004770548,38635679.81,184313.35
370,2021,Store_3428,1,0.002804233,64031909.14,179560.42
371,2022,Store_3428,1,0.017069906,70792875.7,1208427.7
372,2023,Store_3428,1,0.031259,19674239.48,614990.22
373,2018,Store_5424,1,0.01254259,18741274.22,235064.12
374,2019,Store_5424,1,0.008254372,22546892.48,186110.43
375,2021,Store_5424,1,0.006827127,76038888.79,519127.17
376,2022,Store_5424,1,0.011652496,31835418.67,370962.08
377,2023,Store_5424,1,0,0,0
378,2018,Store_9277,1,0.015727782,50578582.16,795488.93
379,2019,Store_9277,1,0.020497947,41552705.44,851745.17
380,2021,Store_9277,1,0.022012427,72856166.26,1603741.05
381,2022,Store_9277,1,0.033457229,52657024.42,1761758.12
382,2023,Store_9277,1,0,0,0
383,2018,Store_9178,1,0.03145869,28137247.5,885160.94
384,2019,Store_9178,1,0.033505642,31088255.56,1041631.97
385,2021,Store_9178,1,0.035413119,65632348.97,2324246.17
386,2022,Store_9178,1,0.029726867,48988036,1456260.81
387,2023,Store_9178,1,0,0,0
388,2018,Store_3897,1,0.030027078,37046680.6,1112403.56
389,2019,Store_3897,1,0.035928137,39395979.13,1415424.12
390,2021,Store_3897,1,0.029071524,60532456.47,1759770.75
391,2022,Store_3897,1,0.036463003,46514222.58,1696048.24
392,2023,Store_3897,1,0.057499,48935557.03,2813730.7
393,2018,Store_7154,1,0.025345385,41519848.69,1052336.57
394,2019,Store_7154,1,0.033754821,39698046.33,1340000.44
395,2020,Store_7154,1,0.032646826,42716117.21,1394545.66
396,2021,Store_7154,1,0.035198538,44319064.69,1559966.27
397,2022,Store_7154,1,0.034558867,51054936.53,1764400.77
398,2023,Store_7154,1,0,0,0
399,2018,Store_8323,1,0.01881267,49387484.17,929110.44
400,2019,Store_8323,1,0.023715602,57282489.91,1358488.72
401,2020,Store_8323,1,0.024585151,60064252.98,1476688.72
402,2021,Store_8323,1,0.023451693,58189564.89,1364643.79
403,2022,Store_8323,1,0.030991732,60785427.64,1883845.68
404,2023,Store_8323,1,0,0,0
405,2018,Store_8705,1,0.019721537,32229580.03,635616.87
406,2019,Store_8705,1,0.018042183,54971142.85,991799.44
407,2020,Store_8705,1,0.011934124,31066176.61,370747.59
408,2021,Store_8705,1,0.015338552,54251109.6,832133.47
409,2022,Store_8705,1,0.024300246,32223601.43,783041.44
410,2023,Store_8705,1,0,0,0
411,2018,Store_8884,1,0.008735483,27158064.33,237238.82
412,2019,Store_8884,1,0.004552422,27959555.79,127283.69
413,2021,Store_8884,1,0.003969435,67896408.31,269510.4
414,2022,Store_8884,1,0.005590472,36306579.72,202970.9
415,2023,Store_8884,1,0.011859,47374180.83,561803.72
416,2018,Store_4054,1,0.014292611,39038849.67,557967.1
417,2019,Store_4054,1,0.015178285,41205821.13,625433.68
418,2020,Store_4054,1,0.013814659,42117212.52,581834.92
419,2021,Store_4054,1,0.009075156,77656000.6,704740.29
420,2022,Store_4054,1,0.01549783,56299244.97,872516.14
421,2023,Store_4054,1,0,0,0
422,2018,Store_3371,1,0.015070855,21935702.47,330589.8
423,2018,Store_4713,1,0.042928951,32291534.19,1386241.68
424,2019,Store_4713,1,0.045684053,35764398.98,1633862.71
425,2020,Store_4713,1,0.030964392,39748759.72,1230796.18
426,2021,Store_4713,1,0.032385054,66035045.62,2138548.53
427,2022,Store_4713,1,0.059116016,56547072.96,3342837.68
428,2023,Store_4713,1,0,0,0
429,2018,Store_1997,1,0.024401192,44146452.16,1077226.04
430,2019,Store_1997,1,0.019313563,40174931.54,775921.08
431,2020,Store_1997,1,0.017251106,46217698.19,797306.43
432,2021,Store_1997,1,0.016548409,55778196.68,923040.42
433,2022,Store_1997,1,0.023589742,26860519.21,633632.73
434,2023,Store_1997,1,0.02986,55046681.84,1643669.27
435,2018,Store_9935,1,0.026048015,40684725.38,1059756.35
436,2019,Store_9935,1,0.033293743,47386380.14,1577669.94
437,2021,Store_9935,1,0.028101498,94440058.56,2653907.12
438,2022,Store_9935,1,0.035614138,56342122.63,2006576.14
439,2023,Store_9935,1,0,0,0
440,2018,Store_7312,1,0.01999671,42446813.37,848796.61
441,2019,Store_7312,1,0.021512471,45363427.45,975879.44
442,2020,Store_7312,1,0.031645515,43330957.69,1371230.49
443,2021,Store_7312,1,0.025341667,69104587.29,1751225.44
444,2022,Store_7312,1,0.027479959,60902946.5,1673610.47
445,2023,Store_7312,1,0,0,0
446,2018,Store_5837,1,0.013794887,21942113.51,302688.98
447,2019,Store_5837,1,0.015930832,23214114.27,369820.16
448,2020,Store_5837,1,0.014823264,23869553.5,353824.7
449,2021,Store_5837,1,0.013273802,45898477.61,609247.3
450,2022,Store_5837,1,0.022585392,33232922.42,750578.58
451,2023,Store_5837,1,0,0,0
452,2018,Store_6304,1,0.009322413,22453954.92,209325.04
453,2019,Store_6304,1,0.013262258,25062857.96,332390.09
454,2020,Store_6304,1,0.009986501,31457695.42,314152.32
455,2021,Store_6304,1,0.005973812,21740926.72,129876.2
456,2022,Store_6304,1,0.008675859,39499618.97,342693.12
457,2023,Store_6304,1,0,0,0
458,2018,Store_2206,1,0.009943446,13637951.17,135608.23
459,2019,Store_2206,1,0.004401896,30273845.9,133262.31
460,2020,Store_2206,1,0.005082741,25633552.51,130288.72
461,2021,Store_2206,1,0.009710168,20721212.81,201206.45
462,2022,Store_2206,1,0.00840676,34885885.59,293277.28
463,2023,Store_2206,1,0,0,0
464,2018,Store_5244,1,0.02844079,25491188.39,724989.53
465,2019,Store_5244,1,0.023361675,25128975.14,587054.95
466,2020,Store_5244,1,0.026718451,35085286.06,937424.49
467,2021,Store_5244,1,0.026679571,36074764.05,962459.24
468,2022,Store_5244,1,0.032272262,47168124.54,1522222.05
469,2023,Store_5244,1,0.055405,29559475.81,1637729.26
470,2018,Store_7394,1,0.014026065,25549354.91,358356.91
471,2019,Store_7394,1,0.013741199,26951510.35,370346.06
472,2020,Store_7394,1,0.021628039,35313186.43,763754.98
473,2021,Store_7394,1,0.027135429,30344757.82,823418.02
474,2022,Store_7394,1,0.02578288,30872208.16,795974.44
475,2023,Store_7394,1,0,0,0
476,2018,Store_0869,1,0.01905,62138782.43,1183743.83
477,2019,Store_0869,1,0.02070889,67716309.52,1402329.59
478,2021,Store_0869,1,0.013467157,127756568.8,1720517.83
