"scalar","mapId","level","mode","layoutRole","observedXpPerMinute","projectedXpPerMinute","beforeXpPerMinute","projectedChangeVersusBeforePercent","observedChangeVersusBeforePercent","ordinaryMedianXpPerMinute","ordinaryMedianDeviationPercent","deepPremiumPercent","targetViolationPoints","xpWithinTarget","observedKillsPerMinute","beforeKillsPerMinute"
"0.9","orebackQuarry","28","stormMage","deepField","10308.333","10308.333","10003.667","3.046","3.046","11715.12","-12.008","-12.008","22.008","false","24.067","23.6"
"0.9","orebackQuarry","28","sniper","deepField","9017.333","9017.333","8583.533","5.054","5.054","10462.56","-13.813","-13.813","23.813","false","20.733","20.133"
"0.9","orebackQuarry","28","trapper","deepField","10997.533","10997.533","10368.333","6.068","6.068","11313.36","-2.792","-2.792","12.792","false","25.4","24.2"
"0.9","orebackQuarry","28","beastArcher","deepField","11094.667","11094.667","9385.8","18.207","18.207","11845.08","-6.335","-6.335","16.335","false","25.467","21.867"
"0.9","orebackQuarry","28","party","deepField","15447.267","15447.267","13895.933","11.164","11.164","11996.16","28.768","28.768","8.768","false","35.533","32.933"
"0.92","rustcoilRuins","19","fighter","trainingField","8744.533","8744.533","7777.467","12.434","12.434","9459.652","-7.56","","0","true","34.4","28.067"
"0.92","rustcoilRuins","19","mage","trainingField","8413.4","8413.4","7240.067","16.206","16.206","9495.964","-11.4","","0","true","33.4","26.067"
"0.92","rustcoilRuins","19","archer","trainingField","8301.8","8301.8","8003.667","3.725","3.725","9708.313","-14.488","","0","true","32.4","28.8"
"0.92","rustcoilRuins","19","party","trainingField","8833.333","8833.333","8196.4","7.771","7.771","9678.729","-8.735","","0","true","34.667","29.667"
"0.92","cinderHollow","19","fighter","trainingField","11059.533","10174.77","7807","30.329","41.662","9459.652","7.56","","0","true","35.667","25.733"
"0.92","cinderHollow","19","mage","trainingField","11498.4","10578.528","7703.533","37.32","49.261","9495.964","11.4","","0","true","37.6","25.667"
"0.92","cinderHollow","19","archer","trainingField","12081.333","11114.826","7843.933","41.7","54.021","9708.313","14.488","","0","true","39.6","26.133"
"0.92","cinderHollow","19","party","trainingField","11439.267","10524.126","7859.267","33.907","45.551","9678.729","8.735","","0","true","37.333","25.733"
"0.92","banditRidgeCamp","19","fighter","deepField","8828.8","8828.8","8974.067","-1.619","-1.619","9459.652","-6.669","-6.669","16.669","false","37.467","38.067"
"0.92","banditRidgeCamp","19","mage","deepField","9700.2","9700.2","9702.333","-0.022","-0.022","9495.964","2.151","2.151","7.849","false","41.067","41.067"
"0.92","banditRidgeCamp","19","archer","deepField","6366.467","6366.467","6617","-3.786","-3.786","9708.313","-34.423","-34.423","44.423","false","27","28.267"
"0.92","banditRidgeCamp","19","party","deepField","10100.133","10100.133","10884.067","-7.203","-7.203","9678.729","4.354","4.354","5.646","false","42.933","46.2"
"0.92","cinderHollow","28","fighter","trainingField","12165.2","11191.984","9247.533","21.027","31.551","11191.984","0","","0","true","33.2","26.067"
"0.92","cinderHollow","28","mage","trainingField","14842.867","13655.438","9546.467","43.042","55.48","13655.438","0","","0","true","40.667","26.867"
"0.92","cinderHollow","28","archer","trainingField","14421.533","13267.81","8783.867","51.047","64.182","13267.81","0","","0","true","39.4","24.667"
"0.92","cinderHollow","28","guardian","trainingField","12420.8","11427.136","8865.467","28.895","40.103","11427.136","0","","0","true","33.867","24.933"
"0.92","cinderHollow","28","berserker","trainingField","12340.2","11352.984","8572.867","32.429","43.945","11352.984","0","","0","true","33.733","24.333"
"0.92","cinderHollow","28","duelist","trainingField","12799.933","11775.938","8818.2","33.541","45.154","11775.938","0","","0","true","35.067","24.8"
"0.92","cinderHollow","28","fireMage","trainingField","13482.133","12403.562","9059.6","36.911","48.816","12403.562","0","","0","true","36.933","25.533"
"0.92","cinderHollow","28","runeMage","trainingField","13427.067","12352.902","9356.333","32.027","43.508","12352.902","0","","0","true","36.667","26.333"
"0.92","cinderHollow","28","stormMage","trainingField","13016.8","11975.456","9065.067","32.106","43.593","11975.456","0","","0","true","35.533","25.667"
"0.92","cinderHollow","28","sniper","trainingField","11625.067","10695.062","8033.267","33.135","44.712","10695.062","0","","0","true","31.733","22.733"
"0.92","cinderHollow","28","trapper","trainingField","12570.4","11564.768","8580.067","34.786","46.507","11564.768","0","","0","true","34.2","24.067"
"0.92","cinderHollow","28","beastArcher","trainingField","13161.2","12108.304","7965.467","52.01","65.228","12108.304","0","","0","true","35.933","22.4"
"0.92","cinderHollow","28","party","trainingField","13329.067","12262.742","9791.067","25.244","36.135","12262.742","0","","0","true","36.333","27.6"
"0.92","banditRidgeCamp","28","fighter","deepField","13520.667","13520.667","13086.467","3.318","3.318","11191.984","20.807","20.807","0.807","false","39.533","38.333"
"0.92","banditRidgeCamp","28","mage","deepField","14496.267","14496.267","15708.333","-7.716","-7.716","13655.438","6.157","6.157","3.843","false","42.4","45.8"
"0.92","banditRidgeCamp","28","archer","deepField","11558.067","11558.067","9242","25.06","25.06","13267.81","-12.886","-12.886","22.886","false","34","26.867"
"0.92","banditRidgeCamp","28","guardian","deepField","12532.933","12532.933","12122.067","3.389","3.389","11427.136","9.677","9.677","0.323","false","36.533","35.4"
"0.92","banditRidgeCamp","28","berserker","deepField","12437.733","12437.733","12802.067","-2.846","-2.846","11352.984","9.555","9.555","0.445","false","36.4","37.4"
"0.92","banditRidgeCamp","28","duelist","deepField","12869.2","12869.2","12241.6","5.127","5.127","11775.938","9.284","9.284","0.716","false","37.6","36"
"0.92","banditRidgeCamp","28","fireMage","deepField","14655.067","14655.067","14555.333","0.685","0.685","12403.562","18.152","18.152","0","true","42.933","42.467"
"0.92","banditRidgeCamp","28","runeMage","deepField","13573.733","13573.733","13399.467","1.301","1.301","12352.902","9.883","9.883","0.117","false","39.733","39.2"
"0.92","banditRidgeCamp","28","stormMage","deepField","13129.4","13129.4","13674.6","-3.987","-3.987","11975.456","9.636","9.636","0.364","false","38.533","40.133"
"0.92","banditRidgeCamp","28","sniper","deepField","7714.333","7714.333","6922.6","11.437","11.437","10695.062","-27.87","-27.87","37.87","false","22.6","20.4"
"0.92","banditRidgeCamp","28","trapper","deepField","11730.6","11730.6","11690.533","0.343","0.343","11564.768","1.434","1.434","8.566","false","34.533","34.2"
